,Title,Domestic_Total_Gross,Distributor,Release_Date,Runtime,Production_Budget,MPAA_Rating,Genre
48,Tomb Raider,58250803,Warner Bros.,"March 16, 2018",118,94 000000,PG-13,Action / Adventure
49,Maze Runner: The Death Cure,58032443,Fox,"January 26, 2018",142,62 000000,PG-13,Sci-Fi Adventure
50,The Nutcracker and the Four Realms,54858851,Buena Vista,"November 2, 2018",99,120 000000,PG,Adventure
51,Tag,54730625,Warner Bros. (New Line),"June 15, 2018",100,28 000000,R,Comedy
52,A Simple Favor,53548586,Lionsgate,"September 14, 2018",116,20 000000,R,Thriller
53,Life of the Party,53059911,Warner Bros. (New Line),"May 11, 2018",105,N/A,PG-13,Comedy
54,The Predator,51024708,Fox,"September 14, 2018",108,88 000000,R,Sci-Fi Action
55,Overboard,50316123,Pantelion,"May 4, 2018",112,12 000000,PG-13,Romantic Comedy
56,Sicario: Day of the Soldado,50072235,Sony / Columbia,"June 29, 2018",122,35 000000,R,Action / Adventure
57,BlacKkKlansman,49275340,Focus Features,"August 10, 2018",134,15 000000,R,Drama
58,I Feel Pretty,48795601,STX Entertainment,"April 20, 2018",110,32 000000,PG-13,Comedy
59,Vice,47836282,Annapurna Pictures,"December 25, 2018",132,N/A,R,Drama
60,Red Sparrow,46874505,Fox,"March 2, 2018",139,69 000000,R,Thriller
61,Breaking In,46840590,Universal,"May 11, 2018",88,6 000000,PG-13,Thriller
62,Goosebumps 2: Haunted Halloween,46700633,Sony / Columbia,"October 12, 2018",90,35 000000,PG,Comedy
63,12 Strong,45819713,Warner Bros.,"January 19, 2018",129,N/A,R,War Drama
64,Den of Thieves,44947622,STX Entertainment,"January 19, 2018",140,N/A,R,Action Thriller
65,First Man,44936545,Universal,"October 12, 2018",138,59 000000,PG-13,Drama
66,Hereditary,44069456,A24,"June 8, 2018",126,N/A,R,Horror
67,Tyler Perry's Acrimony,43549096,Lionsgate,"March 30, 2018",120,N/A,R,Thriller
68,Sherlock Gnomes,43242871,Paramount,"March 23, 2018",86,59 000000,PG,Animation
69,Uncle Drew,42469946,Lionsgate/Summit,"June 29, 2018",103,N/A,PG-13,Comedy
70,Widows,42402632,Fox,"November 16, 2018",128,42 000000,R,Crime Thriller
71,Truth or Dare,41411015,Universal,"April 13, 2018",100,3.5 000000,PG-13,Thriller
72,Paddington 2,40891591,Warner Bros.,"January 12, 2018",103,N/A,PG,Family Adventure
73,"Love, Simon",40826341,Fox,"March 16, 2018",109,17 000000,PG-13,Romantic Comedy
74,Second Act,39282227,STX Entertainment,"December 21, 2018",100,16 000000,PG-13,Romantic Comedy
75,The Commuter,36343858,Lionsgate,"January 12, 2018",105,N/A,PG-13,Action
76,The 15:17 to Paris,36276286,Warner Bros.,"February 9, 2018",94,30 000000,PG-13,Drama
77,Mile 22,36108758,STX Entertainment,"August 17, 2018",95,50 000000,R,Action
78,Alpha,35857181,Studio 8,"August 17, 2018",96,51 000000,PG-13,Action Thriller
79,Peppermint,35418723,STX Entertainment,"September 7, 2018",102,25 000000,R,Action Thriller
80,The Favourite,34366783,Fox Searchlight,"November 23, 2018",119,N/A,R,Drama
81,Death Wish,34017028,MGM,"March 2, 2018",107,30 000000,R,Action / Crime
82,The Spy Who Dumped Me,33562069,Lionsgate,"August 3, 2018",116,40 000000,R,Action Comedy
83,Annihilation,32732301,Paramount,"February 23, 2018",115,40 000000,R,Sci-Fi
84,Isle Of Dogs,32015231,Fox Searchlight,"March 23, 2018",101,N/A,PG-13,Animation
85,Nobody's Fool,31713110,Paramount,"November 2, 2018",110,19 000000,R,Comedy
86,Adrift,31445012,STX Entertainment,"June 1, 2018",96,35 000000,PG-13,Drama
87,Robin Hood,30824628,Lionsgate/Summit,"November 21, 2018",104,100 000000,PG-13,Action / Adventure
88,Super Troopers 2,30617396,Fox,"April 20, 2018",100,13.5 000000,R,Comedy
89,Holmes and Watson,30573626,Sony / Columbia,"December 25, 2018",91,42 000000,PG-13,Comedy
90,Slender Man,30569484,Sony / Screen Gems,"August 10, 2018",93,10 000000,PG-13,Horror
91,Teen Titans Go! To The Movies,29790236,Warner Bros.,"July 27, 2018",93,10 000000,PG,Animation
92,The Hate U Give,29719483,Fox,"October 5, 2018",132,23 000000,PG-13,Crime Drama
93,Searching,26020957,Sony / Screen Gems,"August 24, 2018",102,N/A,PG-13,Thriller
94,Winchester,25091816,Lionsgate,"February 2, 2018",99,N/A,PG-13,Horror
95,On the Basis of Sex,24622687,Focus Features,"December 25, 2018",120,N/A,PG-13,Drama
96,Strangers: Prey at Night,24586708,Aviron,"March 9, 2018",85,N/A,R,Horror
97,White Boy Rick,24011188,Studio 8,"September 14, 2018",110,29 000000,R,Crime Drama
98,Won't You Be My Neighbor?,22835787,Focus Features,"June 8, 2018",94,N/A,PG-13,Documentary
99,Proud Mary,20877013,Sony / Screen Gems,"January 12, 2018",88,14 000000,R,Drama
100,The Happytime Murders,20706452,STX Entertainment,"August 24, 2018",91,40 000000,R,Comedy
101,Superfly,20545116,Sony / Columbia,"June 13, 2018",116,16 000000,R,Action / Crime
102,They Shall Not Grow Old,17956913,Warner Bros.,"December 17, 2018",120,N/A,R,Documentary
103,Show Dogs,17857020,Global Road,"May 18, 2018",90,N/A,PG,Comedy
104,Bad Times At The El Royale,17839115,Fox,"October 12, 2018",141,32 000000,R,Thriller
105,Operation Finale,17612099,MGM,"August 29, 2018",122,24 000000,PG-13,Thriller
106,"Paul, Apostle of Christ",17560475,Sony / AFFIRM Films,"March 23, 2018",107,5 000000,PG-13,Drama
107,Free Solo,17541090,National Geographic Entertainment,"September 28, 2018",100,N/A,PG-13,Documentary
108,Sorry to Bother You,17493096,Annapurna Pictures,"July 6, 2018",105,N/A,R,Sci-Fi Comedy
109,Chappaquiddick,17395520,Entertainment Studios,"April 6, 2018",101,N/A,PG-13,Thriller
110,Mary Queen of Scots,16468499,Focus Features,"December 7, 2018",125,N/A,R,Drama
111,Forever My Girl,16376066,Roadside Attractions,"January 19, 2018",104,3.5 000000,PG,Romance
112,Mortal Engines,15951040,Universal,"December 14, 2018",128,100 000000,PG-13,Action / Adventure
113,Hunter Killer,15767460,Lionsgate/Summit,"October 26, 2018",121,40 000000,R,Action
114,If Beale Street Could Talk,14915773,Annapurna Pictures,"December 14, 2018",117,N/A,R,Crime Drama
115,The Girl in the Spider's Web: A New Dragon Tattoo Story,14841338,Sony / Columbia,"November 9, 2018",117,43 000000,R,Crime Thriller
116,The Possession of Hannah Grace,14837422,Sony / Screen Gems,"November 30, 2018",85,7.7 000000,R,Horror
117,RBG,14017361,Magnolia,"May 4, 2018",97,N/A,PG,Documentary
118,Eighth Grade,13539709,A24,"July 13, 2018",93,N/A,R,Comedy
119,The Darkest Minds,12695691,Fox,"August 3, 2018",105,34 000000,PG-13,Sci-Fi Thriller
120,Three Identical Strangers,12320845,Neon,"June 29, 2018",96,N/A,PG-13,Documentary
121,Upgrade,11977130,BH Tilt,"June 1, 2018",95,N/A,R,Thriller
122,Padmaavat,11846060,Viva Pictures Distribution,"January 25, 2018",164,N/A,Unrated,Drama
123,The Old Man & the Gun,11277120,Fox Searchlight,"September 28, 2018",96,N/A,PG-13,Drama
124,Hell Fest,11107431,Lionsgate,"September 28, 2018",89,5.5 000000,R,Horror Thriller
125,Welcome to Marwen,10763520,Universal,"December 21, 2018",116,39 000000,PG-13,Drama
126,The Miracle Season,10230620,Mirror/LD,"April 6, 2018",99,N/A,PG,Drama
127,The Wife,9601092,Sony Classics,"August 17, 2018",100,N/A,R,Drama
128,Midnight Sun,9561064,Global Road,"March 23, 2018",91,N/A,PG-13,Romance
129,Tully,9369755,Focus Features,"May 4, 2018",96,N/A,R,Comedy
130,Traffik,9186156,Lionsgate,"April 20, 2018",96,N/A,R,Thriller
131,Unfriended: Dark Web,8866745,BH Tilt,"July 20, 2018",88,"1,000,000",R,Thriller
132,Can You Ever Forgive Me?,8803865,Fox Searchlight,"October 19, 2018",107,N/A,R,Drama
133,Early Man,8267544,Lionsgate,"February 16, 2018",89,N/A,PG,Animation
134,The Death of Stalin,8047856,IFC,"March 9, 2018",106,N/A,R,Comedy / Drama
135,Sanju,7909317,FIP,"June 29, 2018",155,N/A,Unrated,Drama
136,Unsane,7732899,Bleecker Street,"March 23, 2018",98,N/A,R,Thriller
137,Beautiful Boy,7649973,Amazon Studios,"October 12, 2018",112,N/A,R,Drama
138,Mid90s,7362439,A24,"October 19, 2018",84,N/A,R,Comedy / Drama
139,Dog Days,6809080,LD Entertainment,"August 8, 2018",112,N/A,PG,Comedy
140,Boy Erased,6788692,Focus Features,"November 2, 2018",114,N/A,R,Drama
141,Hotel Artemis,6708147,Global Road,"June 8, 2018",93,N/A,R,Action Thriller
142,A.X.L.,6501381,Global Road,"August 24, 2018",98,N/A,PG,Family Adventure
143,Fahrenheit 11/9,6352306,Briarcliff,"September 21, 2018",128,N/A,R,Documentary
144,Unbroken: Path to Redemption,6216897,Pure Flix,"September 14, 2018",98,N/A,PG-13,Drama
145,The Hurricane Heist,6115825,Entertainment Studios,"March 9, 2018",103,35 000000,PG-13,Action Thriller
146,Every Day,6102076,Orion Pictures,"February 23, 2018",95,4.9 000000,PG-13,Drama
147,Once Upon a Deadpool,6100309,Fox,"December 12, 2018",117,N/A,PG-13,Action
148,Leave No Trace,6046104,Bleecker Street,"June 29, 2018",108,N/A,PG,Drama
149,Death of a Nation,5885881,Quality Flix,"August 3, 2018",109,6 000000,PG-13,Documentary
150,Pandas,5757906,Warner Bros.,"April 6, 2018",40,N/A,G,Documentary
151,My Hero Academia: Two Heroes,5754556,FUNimation Films,"September 25, 2018",96,N/A,PG-13,Animation
152,God's Not Dead: A Light in Darkness,5728940,Pure Flix,"March 30, 2018",106,N/A,PG,Drama
153,Kin,5718096,Lionsgate,"August 31, 2018",102,N/A,PG-13,Sci-Fi Action
154,Stan & Ollie,5470235,Sony Classics,"December 28, 2018",97,N/A,PG,Comedy / Drama
155,Colette,5137622,Bleecker Street,"September 21, 2018",111,N/A,R,Drama
156,Simmba,5102129,Reliance Big Pictures,"December 28, 2018",158,N/A,Unrated,Action
157,Action Point,5059608,Paramount,"June 1, 2018",85,19 000000,R,Comedy
158,Beirut,5019226,Bleecker Street,"April 11, 2018",109,N/A,R,War Drama
159,Gringo,4969853,STX Entertainment,"March 9, 2018",110,N/A,R,Comedy
160,Samson,4719928,Pure Flix,"February 16, 2018",110,N/A,PG-13,Drama
161,Cold War,4580048,Amazon Studios,"December 21, 2018",89,N/A,R,Drama
162,Amazing Grace,4450456,Neon,"December 7, 2018",87,N/A,G,Documentary
163,Johnny English Strikes Again,4412170,Universal,"October 26, 2018",88,25 000000,PG,Action Comedy
164,Gotti,4343227,Vertical Entertainment,"June 15, 2018",105,N/A,R,Crime Drama
165,Blindspotting,4333394,Lionsgate/Summit,"July 20, 2018",95,N/A,R,Comedy / Drama
166,Burn the Stage: The Movie,4201819,Trafalgar Releasing,"November 15, 2018",84,N/A,Unrated,Documentary
167,Ya Veremos,4165949,Pantelion,"August 31, 2018",97,N/A,PG-13,Comedy / Drama
168,2.0,4152000,Unknown,"November 30, 2018",148,N/A,Unrated,Sci-Fi Action
169,Life Itself,4102648,Amazon Studios,"September 21, 2018",117,N/A,R,Drama
170,Sgt. Stubby: An American Hero,4015935,Fun Academy,"April 13, 2018",90,N/A,PG,Animation
171,Ben is Back,3703184,Roadside Attractions,"December 7, 2018",102,N/A,R,Drama
172,Gosnell: The Trial of America's Biggest Serial Killer,3679893,GVN Releasing,"October 12, 2018",93,N/A,PG-13,Drama
173,Indivisible,3511417,Pure Flix,"October 26, 2018",119,N/A,PG-13,Drama
174,The Oscar Nominated Short Films 2018,3508777,Shorts International,"February 9, 2018",96,N/A,Unrated,Drama
175,Disobedience,3498782,Bleecker Street,"April 27, 2018",114,N/A,R,Drama
176,First Reformed,3448256,A24,"May 18, 2018",113,N/A,R,Thriller
177,"Juliet, Naked",3444895,Roadside Attractions,"August 17, 2018",98,N/A,R,Romantic Comedy
178,Bad Samaritan,3435047,Electric Entertainment,"May 4, 2018",108,N/A,R,Horror Thriller
179,7 Days in Entebbe,3326885,Focus Features,"March 16, 2018",107,N/A,PG-13,Action Thriller
180,Shoplifters,3313513,Magnolia,"November 23, 2018",121,N/A,R,Drama
181,2001: A Space Odyssey,3236321,Warner Bros.,"May 18, 2018",149,N/A,G,Sci-Fi
182,The Sisters Brothers,3143056,Annapurna Pictures,"September 21, 2018",120,N/A,R,Western
183,Thoroughbreds,3072605,Focus Features,"March 9, 2018",92,N/A,R,Drama / Thriller
184,Whitney,3026351,Roadside Attractions,"July 6, 2018",120,N/A,R,Documentary
185,Rachel Hollis Presents: Made for More,2999134,Fathom,"August 2, 2018",120,N/A,Unrated,Unknown
186,American Animals,2856954,The Orchard,"June 1, 2018",117,N/A,R,Crime Drama
187,God Bless the Broken Road,2846257,Freestyle Releasing,"September 7, 2018",111,N/A,PG,Drama
188,La Boda de Valentina,2783739,Pantelion,"February 9, 2018",107,N/A,R,Romantic Comedy
189,Bharat Ane Nenu,2663090,Great India Films,"April 20, 2018",173,N/A,Unrated,Action Drama
190,Qué León,2607916,Spanglish Movies,"November 29, 2018",93,N/A,PG-13,Romantic Comedy
191,You Were Never Really Here,2528078,Amazon Studios,"April 6, 2018",85,N/A,R,Drama / Thriller
192,Suspiria,2483472,Amazon Studios,"October 26, 2018",155,N/A,R,Horror
193,The Rider,2419031,Sony Classics,"April 13, 2018",104,N/A,R,Drama
194,Mary and the Witch's Flower,2418404,GKIDS,"January 18, 2018",102,N/A,PG,Animation
195,Hearts Beat Loud,2386251,Gunpowder & Sky,"June 8, 2018",97,N/A,PG-13,Comedy / Drama
196,1991,2342264,Entertainment One,"July 27, 2018",141,N/A,Unrated,Comedy
197,Papillon,2335896,Bleecker Street,"August 24, 2018",136,N/A,R,Drama
198,The Fall of the American Empire,2178460,Entertainment One,"June 29, 2018",127,N/A,R,Comedy
199,Puzzle,2032018,Sony Classics,"July 27, 2018",103,N/A,R,Drama
200,Met Opera: Tosca,2023749,Fathom,"January 27, 2018",210,N/A,Unrated,Musical
201,A Fantastic Woman,2020988,Sony Classics,"February 2, 2018",104,N/A,R,Drama
202,Pope Francis - A Man of His Word,2008385,Focus Features,"May 18, 2018",96,N/A,PG,Documentary
203,Assassination Nation,2005142,Neon,"September 21, 2018",107,N/A,R,Thriller
204,The Front Runner,2000105,Sony / Columbia,"November 6, 2018",113,N/A,R,Drama
205,Detective Chinatown 2,1983984,Warner Bros.,"February 16, 2018",120,N/A,R,Action Comedy
206,Indian Horse,1970026,Elevation Pictures,"April 13, 2018",101,N/A,Unrated,Drama
207,MET Opera: La Traviata,1882931,Fathom,"December 15, 2018",210,N/A,Unrated,Unknown
208,Racetime,1875283,Entertainment One,"December 7, 2018",89,N/A,Unrated,Animation
209,Moses,1807117,Fathom,"September 13, 2018",130,N/A,Unrated,Unknown
210,Met Opera: La Bohème,1764201,Fathom,"February 24, 2018",200,N/A,Unrated,Musical
211,Race 3,1690861,Yash Raj,"June 15, 2018",160,N/A,Unrated,Action
212,Pad Man,1670192,Sony / Columbia,"February 9, 2018",140,N/A,PG-13,Drama
213,Capernaum,1661096,Sony Classics,"December 14, 2018",121,N/A,R,Drama
214,A Private War,1633208,Aviron,"November 2, 2018",106,N/A,R,Drama
215,MET Opera: Aida,1595902,Fathom,"October 6, 2018",240,N/A,Unrated,Unknown
216,The Bookshop,1588150,Greenwich,"August 24, 2018",113,N/A,PG,Drama
217,Operation Red Sea,1543547,Well Go USA,"February 23, 2018",141,N/A,Unrated,Action
218,Destroyer,1533324,Annapurna Pictures,"December 25, 2018",123,N/A,R,Crime Thriller
219,Thugs of Hindostan,1449848,Yash Raj,"November 8, 2018",164,N/A,Unrated,Action Drama
220,Don't Worry He Won't Get Far on Foot,1441705,Amazon Studios,"July 13, 2018",113,N/A,R,Comedy / Drama
221,Princess Mononoke - Studio Ghibli,1423877,Fathom,"July 22, 2018",135,N/A,PG-13,Animation
222,Finding Your Feet,1418682,Roadside Attractions,"March 30, 2018",111,N/A,PG-13,Comedy
223,Little Women,1379497,Pinnacle Peak,"September 28, 2018",112,N/A,PG-13,Drama
224,102 Not Out,1343797,Sony / Columbia,"May 4, 2018",102,N/A,PG,Comedy
225,Baaghi 2,1319579,FIP,"March 30, 2018",137,N/A,Unrated,Action
226,Never Look Away,1304042,Sony Classics,"November 30, 2018",188,N/A,R,Drama
227,The Metropolitan Opera: Cosi Fan Tutte,1302949,Fathom,"March 31, 2018",240,N/A,Unrated,Unknown
228,Maria by Callas,1267301,Sony Classics,"November 2, 2018",113,N/A,PG,Documentary
229,McQueen,1257275,Bleecker Street,"July 20, 2018",111,N/A,R,Documentary
230,The Seagull,1252960,Sony Classics,"May 11, 2018",98,N/A,PG-13,Drama
231,Met Opera: Cendrillon,1243306,Fathom,"April 28, 2018",195,N/A,Unrated,Musical
232,Mandy,1214525,RLJ Entertainment,"September 13, 2018",121,N/A,Unrated,Action Horror
233,Grease,1213413,Fathom,"April 8, 2018",110,N/A,PG,Musical
234,Beautifully Broken,1209645,ArtAffects,"August 24, 2018",108,N/A,PG-13,Drama
235,An Interview with God,1201434,Fathom,"August 20, 2018",97,N/A,Unrated,Drama
236,Along with the Gods: The Last 49 Days,1200246,Well Go USA,"August 1, 2018",135,N/A,Unrated,Fantasy
237,MET Opera: Samson Et Dalila,1195758,Fathom,"October 20, 2018",210,N/A,Unrated,Unknown
238,Andhadhun,1193046,Eros,"October 5, 2018",139,N/A,Unrated,Comedy Thriller
239,Spirited Away - Studio Ghibli Fest 2018,1175067,Fathom,"October 28, 2018",124,N/A,PG,Animation
240,The Metropolitan Opera: Luisa Miller,1166858,Fathom,"April 14, 2018",240,N/A,Unrated,Unknown
241,Lean on Pete,1163056,A24,"April 6, 2018",121,N/A,R,Adventure
242,My Neighbor Totoro - Studio Ghibli Fest 2018,1144649,Fathom,"September 30, 2018",100,N/A,G,Animation
243,Met Opera: L'Elisir d'Amore,1115018,Fathom,"February 10, 2018",180,N/A,Unrated,Musical
244,Wildlife,1050616,IFC,"October 19, 2018",104,N/A,PG-13,Drama
245,The Dark Crystal,1036956,Fathom,"February 25, 2018",100,N/A,PG,Fantasy
246,Zero,1035388,Yash Raj,"December 21, 2018",164,N/A,Unrated,Comedy / Drama
247,Met Opera: Semiramide,1033651,Fathom,"March 10, 2018",209,N/A,Unrated,Musical
248,MET Opera: La Fanciulla Del West,1023233,Fathom,"October 27, 2018",225,N/A,Unrated,Unknown
249,Nothing to Lose,1016188,Swen,"May 11, 2018",135,N/A,PG,Drama
250,Elvis: '68 Comeback Special,1010657,Fathom,"August 16, 2018",60,N/A,Unrated,Concert
251,Raid,1010385,Eros,"March 16, 2018",120,N/A,Unrated,Action / Crime
252,The Insult,1001305,Cohen Media Group,"January 12, 2018",113,N/A,R,Foreign
253,Labyrinth,993336,Fathom,"April 29, 2018",101,N/A,PG,Fantasy
254,Yellow Submarine,992305,Abramorama,"July 8, 2018",90,N/A,G,Animation
255,Little Italy,990230,Entertainment One,"August 24, 2018",102,N/A,R,Romantic Comedy
256,The Dawn Wall,970032,Fathom,"September 19, 2018",100,N/A,Unrated,Documentary
257,TCM: White Christmas,928298,Fathom,"December 9, 2018",120,N/A,Unrated,Musical
258,Kirk Cameron: Connect,918127,Fathom,"February 27, 2018",70,N/A,Unrated,Documentary
259,The Miseducation of Cameron Post,904703,FilmRise,"August 3, 2018",95,N/A,Unrated,Drama
260,Kedarnath,901131,PackYourBag,"December 7, 2018",116,N/A,Unrated,Drama
261,Let the Sunshine In,892421,IFC,"April 27, 2018",94,N/A,Unrated,Comedy / Drama
262,Tea with the Dames,889343,IFC,"September 21, 2018",84,N/A,Unrated,Documentary
263,The Cakemaker,875751,Strand,"June 29, 2018",104,N/A,Unrated,Drama
264,MET Opera: Marnie,849710,Fathom,"November 10, 2018",210,N/A,Unrated,Unknown
265,Bandstand: The Broadway Musical,839554,Fathom,"June 25, 2018",130,N/A,Unrated,Musical
266,Schindler's List,833050,Universal,"December 7, 2018",195,N/A,R,Drama
267,Like Arrows,817990,Fathom,"May 1, 2018",100,N/A,Unrated,Drama
268,Mirai,812794,GKIDS,"November 29, 2018",98,N/A,PG,Animation
269,Beast,800365,Roadside Attractions,"May 11, 2018",107,N/A,R,Thriller
270,Sui Dhaaga - Made in India,790628,Yash Raj,"September 28, 2018",136,N/A,Unrated,Drama
271,Pokemon the Movie: The Power of Us,789170,Fathom,"November 24, 2018",112,N/A,Unrated,Animation
272,Border,771930,Neon,"October 26, 2018",101,N/A,R,Drama
273,The Party,749827,Roadside Attractions,"February 16, 2018",71,N/A,R,Comedy
274,How Long Will I Love U,746933,Well Go USA,"May 25, 2018",101,N/A,Unrated,Comedy
275,On Chesil Beach,745971,Bleecker Street,"May 18, 2018",110,N/A,R,Drama
276,The Polar Express,731018,Warner Bros.,"November 2, 2018",100,N/A,G,Animation
277,Vox Lux,727119,Neon,"December 7, 2018",114,N/A,R,Drama
278,The Catcher Was a Spy,725223,IFC,"June 22, 2018",98,N/A,R,Drama
279,Burning,718991,Well Go USA,"October 26, 2018",148,N/A,Unrated,Drama
280,The Little Stranger,713143,Focus Features,"August 31, 2018",111,N/A,R,Drama
281,Canelo vs. GGG 2,707875,Fathom,"September 15, 2018",N/A,N/A,Unrated,Unknown
282,Monster Hunt 2,706153,Lionsgate,"February 16, 2018",110,N/A,Unrated,Fantasy
283,Blaze,704955,IFC,"August 17, 2018",127,N/A,R,Drama
284,Boundaries,703438,Sony Classics,"June 22, 2018",110,N/A,R,Comedy / Drama
285,Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,695130,Fathom,"December 10, 2018",90,N/A,Unrated,Musical
286,The Trump Prophecy,671198,Fathom,"October 2, 2018",120,N/A,Unrated,Drama
287,The Island,670883,Well Go USA,"August 10, 2018",134,N/A,Unrated,Comedy / Drama
288,Dragon Ball Z: Broly - The Legendary Super Saiyan,658982,Fathom,"September 15, 2018",72,N/A,Unrated,Animation
289,Ponyo,653072,Fathom,"March 25, 2018",100,N/A,G,Animation
290,Lizzie,642157,Roadside Attractions,"September 14, 2018",106,N/A,R,Thriller
291,"Love, Gilda",626318,Magnolia,"September 21, 2018",86,N/A,Unrated,Documentary
292,Transformers: The Movie,619597,Fathom,"September 27, 2018",84,N/A,PG,Animation
293,Foxtrot,618883,Sony Classics,"March 2, 2018",108,N/A,R,Drama
294,The Sound of Music,616171,Fathom,"September 9, 2018",174,N/A,Unknown,Musical
295,Itzhak,607290,Greenwich,"March 9, 2018",83,N/A,Unrated,Documentary
296,Survival Sunday: The Walking Dead/Fear the Walking Dead,605764,Fathom,"April 15, 2018",120,N/A,Unrated,Horror
297,The Grateful Dead Meet Up 2018,600554,Fathom,"April 4, 2018",180,N/A,Unrated,Documentary
298,The Big Lebowski,582585,Fathom,"August 5, 2018",117,N/A,R,Crime Comedy
299,Pick of the Litter,578717,IFC,"August 31, 2018",81,N/A,Unrated,Documentary
300,Manmarziyaan,567417,Eros,"September 14, 2018",156,N/A,Unrated,Romance
301,Loveless,566356,Sony Classics,"February 16, 2018",127,N/A,R,Drama
